frame,t_days,t_fly,tumor_burden,H,fusion_allele_fraction,A_ready,I_surv,I_act,resistance_frequency,terminal,heading,xpos_x,xpos_y,xpos_z,U_anti_pd1,U_tgfb_inhibitor,U_mct1,U_hdac,U_targeted_kinase,U_protein_anti_pd1,U_protein_tgfb_trap,U_protein_ifng,U_protein_il2,U_protein_chimeric_engager,U_protein_surveillance_igg,U_protein_fusion_mab,U_tki_imatinib_like,U_tki_alk
0,0.2,0.0,1.3656088700624784,0.8836618317462177,0.208133920398845,0.06952044426883679,0.13039045966913218,0.1791768795840063,0.09178136184708084,False,0.0,0.0,0.0,0.1278,0.02566035580717699,0.0,0.00461275402076894,0.010830299524476852,0.0014767949973196939,0.1613617000051954,0.1283554314773164,0.16892322613829497,0.23472845428158354,0.22285947639992368,0.19209477801629113,0.12233995139972269,0.03714133210615661,0.10181313084818816
1,0.4,0.0,1.3795752015489884,0.8641638939707101,0.2087198979489637,0.07951895294827117,0.15976376462889155,0.1837057507320693,0.09477651726859314,False,0.0,0.0,0.0,0.1278,0.0019355220487260643,0.0,0.0008498552206171298,0.0,0.0019887830926514586,0.1398178425195646,0.12583605826760813,0.16960502185449106,0.22390208470936385,0.2269935199732064,0.17710367499486585,0.12330213253109869,0.03484204877269953,0.09311829390144588
2,0.6000000000000001,0.0,1.39253139714318,0.8442558456534018,0.20910282683847928,0.08995602666497636,0.188036736545465,0.1893201097852272,0.097852387490374,False,0.0,0.0,0.0,0.1278,0.008876705509364802,0.0,0.0016240543028208387,0.003505326111111482,0.0006169501521512986,0.14277929034657946,0.12258104343610832,0.1630657472276049,0.22053953530029843,0.21304348430398787,0.1685807009439733,0.11610326050846402,0.034036443619246,0.09287589627193972
3,0.8,0.0,1.4045652647522107,0.8245861924189504,0.20926434986642356,0.10079141785814189,0.21522898879951766,0.19512721068031746,0.10100442556388806,False,0.0,0.0,0.0,0.1278,0.0006467851011503263,0.0,0.00011739906089613708,0.0002633589580048286,4.14567280508013e-05,0.13661393162520244,0.12252394792638284,0.16332499335008208,0.2179993862921862,0.21539220898714498,0.16283215643410964,0.11787715508275273,0.033258883262869736,0.09142931323700493
4,1.0,0.0,1.41564460707851,0.8052566556321769,0.20920403840627028,0.11198620580744818,0.24137446194860604,0.20102476862367968,0.10423369765591008,False,0.0,0.0,0.0,0.1278,0.0029596796395410033,0.0,0.0005316046355045019,0.0012528550758707912,0.0001687148852259022,0.1393868712397247,0.12350366658399439,0.16440982986850572,0.22031110024198225,0.21591566432856507,0.1651961737480131,0.11797233002538392,0.03337938431564258,0.09176509833615083
5,1.2,0.0,1.4257392258853505,0.7862862515675417,0.2089213190952426,0.12350316917723192,0.26650777133676723,0.2069455487479279,0.10754021379911452,False,0.0,0.0,0.0,0.1278,0.005599966377274428,0.0,0.0010061380366944552,0.0023679851679187726,0.0003203327843390195,0.14133439645689588,0.12352088041261984,0.1642033949943223,0.22101361137904402,0.2178853091455862,0.16967662063504438,0.11965422912843465,0.03441228864682295,0.09457402107328428
6,1.4,0.0,1.434755113472828,0.7676324885220654,0.20842002010300742,0.13530711392827438,0.2906624816080227,0.2129989596727308,0.11093070158751503,False,0.0,0.0,0.0,0.1278,0.0008217917715850557,0.0,0.0007094382493005597,0.0,0.002148322099310724,0.14055580216644745,0.12650022194980268,0.17060972326785878,0.2248892834663159,0.23183344635622016,0.18091270589565508,0.12661093213800031,0.03562040959191127,0.09542960289329168
7,1.5999999999999999,0.0,1.4428058339927492,0.7494143632326876,0.2077209683685875,0.14736331617774304,0.3138680761301649,0.21896912651839118,0.11440056303198205,False,0.0,0.0,0.0,0.1278,0.00015771944572261638,0.0,0.0001991188421900009,0.0,0.000647813905480347,0.14044721976642174,0.12640249778977955,0.16912056515489096,0.2247155516262748,0.22265476266032483,0.16896389705501996,0.12114525342575998,0.03327005861322216,0.09075829019610103
8,1.7999999999999998,0.0,1.4499648565870715,0.731686315056875,0.20684048755756557,0.15963816967351122,0.3361615106309297,0.22471449054487241,0.11794627825288792,False,0.0,0.0,0.0,0.1278,0.00023641257382297847,0.0,0.0003178266877564063,0.0,0.0010434460969475476,0.14024974619978883,0.12622477157980994,0.1692398194916251,0.22439959391966213,0.22804910774663711,0.1750230547572978,0.1250502597825447,0.034722646555599736,0.09430979178849885
9,1.9999999999999998,0.0,1.456356412746617,0.7145882822463179,0.2057906140062898,0.17209937265574515,0.35758135113200984,0.22986843149039837,0.12156271910779308,False,0.0,0.0,0.0,0.1278,0.0004697602720166776,0.0,0.0006145640638551154,0.0,0.002009894061718253,0.13377448314364931,0.12039703482928436,0.16234056164602137,0.21403917302983888,0.2148301439233499,0.166179541545974,0.11587207965480524,0.03398967537180102,0.09119913625864227
10,2.1999999999999997,0.0,1.461905193207933,0.6979243451507802,0.2045785027742089,0.18471747546422457,0.3781687314855273,0.2348825546740686,0.12525422942323364,False,0.0,0.0,0.0,0.1278,0.0005461357856405892,0.0,0.0007113629622014437,0.0,0.002325002915553945,0.14009940028290702,0.12608946025461631,0.170214475522586,0.22415904045265123,0.23478157169174707,0.1840191515861576,0.12891426000300554,0.03651900258661719,0.09779767866160545
11,2.4,0.0,1.4666107994306516,0.6816266276657079,0.2032119935591474,0.19746519687298691,0.3979470223018469,0.23991352959626464,0.1290218072752327,False,0.0,0.0,0.0,0.1278,0.00019406375335178933,0.0,0.0002651367940093813,0.0,0.0008724020286696984,0.1421271441057098,0.12791442969513883,0.17133851280103066,0.2274034305691357,0.23095365742432236,0.17687975072588977,0.1268340356040897,0.034686407814207745,0.09440424855143151
12,2.6,0.0,1.4706009166466667,0.6657978828254993,0.20170955847904415,0.21031513851908748,0.416943534078125,0.24468419955311904,0.13285980395925964,False,0.0,0.0,0.0,0.1278,0.0004965668037270526,0.0,0.0006484036557764129,0.0,0.0021199862853698726,0.14099230038509533,0.12689307034658578,0.17110117306969985,0.2255876806161525,0.23280630230011462,0.1813927778575422,0.12722998056268633,0.03564460555281312,0.09562539123428758
13,2.8000000000000003,0.0,1.473955489289812,0.6504827742106156,0.2000810991910224,0.2232414900481764,0.43518913137714044,0.24906934065662784,0.13676493783340582,False,0.0,0.0,0.0,0.1278,0.0002605348190121951,0.0,0.00034926281792545976,0.0,0.0011461987870223403,0.14028979855416726,0.12626081869875053,0.16938047843450305,0.2244636776866676,0.22990805454988536,0.17701506494873417,0.12639450209384814,0.03517945281123276,0.09544979997446784
14,3.0000000000000004,0.0,1.4765446326276808,0.6354743514566553,0.19832982273698133,0.23622186754897734,0.4527119389489898,0.25358779126757075,0.1407449617197279,False,0.0,0.0,0.0,0.1278,0.0006617667659947228,0.0,0.0008576458085927325,0.0,0.0028010661981328587,0.14812568248748212,0.1333131142387339,0.1802751038256103,0.2370010919799714,0.2523338730293087,0.19920468709580572,0.13915791345882664,0.03757279677248501,0.1001560240182037
